id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
36305071,Eclectic and Peaceful Suite with Private Bathroom,22200018,Lucia,Brooklyn,Bedford-Stuyvesant,40.68437,-73.93508,Private room,86,2,10,2019-12-07,0.76,3,0
36305449,Private apartment in Brooklyn near trains to city!,176896549,Caroline,Brooklyn,Bushwick,40.70066,-73.92986,Entire home/apt,150,5,0,,,1,0
36305881,Manhattan On The Hill,273038911,Ana,Manhattan,Inwood,40.8683,-73.92161,Entire home/apt,235,1,0,,,1,365
36306533,The Bright Bubble room,272595681,Alonso,Queens,East Elmhurst,40.75613,-73.8856,Private room,59,7,3,2019-09-28,0.23,1,365
36307792,Private room in spacious East Village oasis,41698272,Rachel,Manhattan,East Village,40.72797,-73.98155,Private room,150,1,11,2019-09-24,0.83,1,0
36307882,Adorable TriBeCa neighborhood easy subway access!,111768943,Kristin,Manhattan,Tribeca,40.71918,-74.00786,Entire home/apt,179,2,0,,,1,0
36308459,Sunny Spacious Long Island City Apartment,273059367,Efsun,Queens,Long Island City,40.74356,-73.95314,Entire home/apt,200,2,15,2020-01-26,1.14,1,178
36308600,Cozy and Beautiful Park Slope One Bedroom,74773867,Kailey,Brooklyn,Park Slope,40.67455,-73.98477,Entire home/apt,150,1,1,2019-07-05,0.07,1,0
36308658,"Sunny Queen in Beautiful, Modern shared Apartment",268394581,Rehana &,Brooklyn,Bedford-Stuyvesant,40.68994,-73.93345,Private room,65,2,67,2020-07-22,5.09,2,364
36309149,exposed brick studio apartment in prime Bushwick,6482381,Daniel,Brooklyn,Bushwick,40.69227,-73.9117,Entire home/apt,95,1,6,2019-10-13,0.47,1,0
36310953,Private Room in 2BR East Village Apartment,15687009,Chad,Manhattan,East Village,40.7257,-73.97523,Private room,84,10,0,,,4,15
36311265,SUNNY and VIBEY Brooklyn Room In artist’s apt,97633452,Noelani,Brooklyn,Williamsburg,40.71437,-73.9437,Private room,84,14,0,,,1,0
36311866,Best location in Bay Ridge. Cozy and private room.,256634262,Jean,Brooklyn,Bay Ridge,40.63107,-74.0255,Private room,42,1,22,2020-08-02,1.66,2,165
36312088,"Welcoming, Cozy 2 bedroom Home.",273086651,Andres,Queens,Richmond Hill,40.69203,-73.83012,Entire home/apt,185,3,2,2019-09-03,0.17,1,139
36312752,Spacious 1 bedroom Open Concept Apt in E Flatbush.,45631198,Arturo,Brooklyn,East Flatbush,40.63845,-73.94365,Entire home/apt,70,2,13,2019-08-27,0.98,1,0
36312899,Sunny Loft top location in Bushwick / Ridgewood,5958193,Majo,Queens,Ridgewood,40.69326,-73.90316,Entire home/apt,111,2,6,2020-01-01,0.45,1,14
36312999,Perfect Place to stay in Manhattan,86813128,Tiffany,Manhattan,East Harlem,40.81488,-73.93458,Private room,42,2,3,2019-08-20,0.24,1,0
